Zipcode,EstimatedPopulation,TotalWages,Result
2067,16154.0,684110024.0,42349.26482604928
2071,2802.0,94797903.0,33832.22805139186
2072,23389.0,636047711.0,27194.30976099876
2081,16471.0,634612432.0,38529.07728735353
2090,26190.0,1336669928.0,51037.416113020234
2093,9499.0,365975278.0,38527.76902831877
2108,3312.0,388783474.0,117386.31461352657
2109,4145.0,284385612.0,68609.31531966224
2110,4313.0,231268950.0,53621.36563876652
2111,4467.0,315024986.0,70522.7190508171
2112,417.0,9674464.0,23200.153477218224
2113,4799.0,229434216.0,47808.75515732444
2114,8116.0,551322326.0,67930.30137999014
2115,9923.0,460529282.0,46410.287413080725
2116,13687.0,1351420353.0,98737.51391831665
2117,396.0,13001966.0,32833.24747474748
2118,33590.0,1786647470.0,53189.862161357545
2119,34604.0,646989914.0,18696.96896312565
2120,35240.0,691956325.0,19635.537031782067
2121,49245.0,797458302.0,16193.690770636613
2122,33184.0,734717708.0,22140.721673095468
2123,359.0,9359735.0,26071.6852367688
2124,134280.0,2913239244.0,21695.257998212688
2125,68982.0,1504478550.0,21809.72645037836
2126,57798.0,1197529308.0,20719.217066334477
2127,72153.0,2836545351.0,39312.92324643466
2128,82257.0,1635046707.0,19877.29563441409
2129,26622.0,1453883300.0,54612.09901585155
2130,54120.0,1860451720.0,34376.41759053954
2131,47762.0,1274395946.0,26682.21485699929
2132,65268.0,2253029040.0,34519.65802537231
2134,24102.0,621324532.0,25778.961579951872
2135,54740.0,1710942372.0,31255.79780781878
2136,69627.0,1649590899.0,23691.827868499287
2138,21578.0,1027911979.0,47637.03675039392
2139,77907.0,2913862242.0,37401.80268782009
2140,57108.0,2115257060.0,37039.59270154795
2141,25254.0,930911733.0,36861.95188880969
2142,4022.0,219355040.0,54538.79661859771
2143,55866.0,1779291843.0,31849.279400708838
2144,54153.0,1997472300.0,36885.71824275664
2145,37408.0,920301996.0,24601.742835757057
2148,47104.0,1135121207.0,24098.191385020382
2149,30367.0,612913534.0,20183.539170810418
2150,23718.0,451124760.0,19020.354161396408
2151,116862.0,2451746220.0,20979.841351337476
2152,14181.0,397723233.0,28046.204992595725
2155,134349.0,3961291791.0,29485.085791483376
2163,2169.0,139394865.0,64266.88105117566
2169,216070.0,6191719325.0,28656.080552598694
2170,32386.0,834144060.0,25756.316309516456
2171,108521.0,3302178201.0,30428.932658195186
2176,23311.0,809527855.0,34727.28990605294
